nautilus-data	1:46.4-0ubuntu0.2
ncurses-base	6.4+20240113-1ubuntu2.2
ncurses-bin	6.4+20240113-1ubuntu2.2
ncurses-term	6.4+20240113-1ubuntu2.2
needrestart	3.6-7ubuntu4.5
netbase	6.4
netcat-openbsd	1.226-1ubuntu2
netpbm	2:11.05.02-1.1build1
netplan-generator	1.1.2-8ubuntu1~24.04.2
netplan.io	1.1.2-8ubuntu1~24.04.2
network-manager	1.46.0-1ubuntu2.8
network-manager-gnome	1.34.0-1ubuntu3
network-manager-pptp	1.2.12-3build2
networkd-dispatcher	2.2.4-1
nftables	1.0.9-1ubuntu0.1
notification-daemon	3.20.0-4build3
ntfs-3g	1:2022.10.3-1.2ubuntu3.2
numactl	2.0.18-1ubuntu0.24.04.1
nvme-cli	2.8-1ubuntu0.1
ocl-icd-libopencl1:amd64	2.3.2-1build1
open-iscsi	2.1.9-3ubuntu5.4
open-vm-tools	2:13.0.10-0ubuntu0.24.04.1
openjdk-17-jre:amd64	17.0.20+8-1~24.04
openjdk-17-jre-headless:amd64	17.0.20+8-1~24.04
openjfx	11.0.11+1-3.1ubuntu5
openjfx-source	11.0.11+1-3.1ubuntu5
openssh-client	1:9.6p1-3ubuntu13.19
openssh-server	1:9.6p1-3ubuntu13.19
openssh-sftp-server	1:9.6p1-3ubuntu13.19
openssl	3.0.13-0ubuntu3.15
os-prober	1.81ubuntu4
overlayroot	0.49~24.04.1
p11-kit	0.25.3-4ubuntu2.2
p11-kit-modules:amd64	0.25.3-4ubuntu2.2
packagekit	1.2.8-2ubuntu1.5
packagekit-tools	1.2.8-2ubuntu1.5
parted	3.6-4build1
passwd	1:4.13+dfsg1-4ubuntu3.2
pastebinit	1.6.2-1
patch	2.7.6-7build3
pavucontrol	5.0-2build3
pci.ids	0.0~2024.03.31-1ubuntu0.1
pciutils	1:3.10.0-2build1
perl	5.38.2-3.2ubuntu0.4
perl-base	5.38.2-3.2ubuntu0.4
perl-modules-5.38	5.38.2-3.2ubuntu0.4
pinentry-curses	1.2.1-3ubuntu5
pinentry-gnome3	1.2.1-3ubuntu5
pkexec	124-2ubuntu1.24.04.4
plymouth	24.004.60-1ubuntu7.2
plymouth-label	24.004.60-1ubuntu7.2
plymouth-theme-ubuntu-text	24.004.60-1ubuntu7.2
policykit-1	124-2ubuntu1.24.04.4
policykit-1-gnome	0.105-7ubuntu5
polkitd	124-2ubuntu1.24.04.4
pollinate	4.33-3.1ubuntu1.3
poppler-data	0.4.12-1
poppler-utils	24.02.0-1ubuntu9.9
powermgmt-base	1.37ubuntu0.1
ppp	2.4.9-1+1.1ubuntu4
pptp-linux	1.10.0-1build4
procps	2:4.0.4-4ubuntu3.3
psmisc	23.7-1build1
publicsuffix	20231001.0357-0.1
pulseaudio	1:16.1+dfsg1-2ubuntu10.1
pulseaudio-utils	1:16.1+dfsg1-2ubuntu10.1
python-apt-common	2.7.7ubuntu5.3
python-babel-localedata	2.10.3-3build1
python3	3.12.3-0ubuntu2.1
python3-apport	2.28.3-0ubuntu0.1
python3-apt	2.7.7ubuntu5.3
python3-attr	23.2.0-2
python3-automat	22.10.0-2
python3-babel	2.10.3-3build1
python3-bcrypt	3.2.2-1build1
python3-blinker	1.7.0-1
python3-boto3	1.34.46+dfsg-1ubuntu1
python3-botocore	1.34.46+repack-1ubuntu1
python3-bpfcc	0.29.1+ds-1ubuntu7
python3-cairo	1.25.1-2build2
python3-certifi	2023.11.17-1
python3-cffi-backend:amd64	1.16.0-2build1
python3-chardet	5.2.0+dfsg-1
python3-click	8.1.6-2
python3-colorama	0.4.6-4
python3-commandnotfound	23.04.0
python3-configobj	5.0.8-3
python3-constantly	23.10.4-1
python3-cryptography	41.0.7-4ubuntu0.4
python3-cups:amd64	2.0.1-5build6
python3-cupshelpers	1.5.18-1ubuntu9
python3-dateutil	2.8.2-3ubuntu1
python3-dbus	1.3.2-5build3
python3-debconf	1.5.86ubuntu1
python3-debian	0.1.49ubuntu2
python3-distro	1.9.0-1
python3-distro-info	1.7build1
python3-distupgrade	1:24.04.29
python3-gdbm:amd64	3.12.3-0ubuntu1
python3-gi	3.48.2-1
python3-hamcrest	2.1.0-1
python3-httplib2	0.20.4-3ubuntu0.1
python3-hyperlink	21.0.0-5
python3-ibus-1.0	1.5.29-2
python3-idna	3.6-2ubuntu0.2
python3-incremental	22.10.0-1
python3-jinja2	3.1.2-1ubuntu1.3
python3-jmespath	1.0.1-1
python3-json-pointer	2.0-0ubuntu1
python3-jsonpatch	1.32-3
python3-jsonschema	4.10.3-2ubuntu1
python3-jwt	2.7.0-1ubuntu0.1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-magic	2:0.4.27-3
python3-markdown-it	3.0.0-2
python3-markupsafe	2.1.5-1build2
python3-mdurl	0.1.2-1
python3-minimal	3.12.3-0ubuntu2.1
python3-netaddr	0.8.0-2ubuntu1
python3-netifaces:amd64	0.11.0-2build3
python3-netplan	1.1.2-8ubuntu1~24.04.2
python3-newt:amd64	0.52.24-2ubuntu2
python3-oauthlib	3.2.2-1
python3-openssl	23.2.0-1ubuntu0.1
python3-packaging	24.0-1
python3-parted	3.12.0-6build3
python3-passlib	1.7.4-4
python3-pexpect	4.9-2
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-problem-report	2.28.3-0ubuntu0.1
python3-psutil	5.9.8-2build2
python3-ptyprocess	0.7.0-5
python3-pyasn1	0.4.8-4ubuntu0.3
python3-pyasn1-modules	0.2.8-1
python3-pygments	2.17.2+dfsg-1
python3-pyparsing	3.1.1-1
python3-pyrsistent:amd64	0.20.0-1build2
python3-requests	2.31.0+dfsg-1ubuntu1.1
python3-rich	13.7.1-1
python3-s3transfer	0.10.1-1ubuntu2
python3-serial	3.5-2
python3-service-identity	24.1.0-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-software-properties	0.99.49.4
python3-systemd	235-1build4
python3-twisted	24.3.0-1ubuntu0.2
python3-typing-extensions	4.10.0-1
python3-tz	2024.1-2
python3-update-manager	1:24.04.12
python3-urllib3	2.0.7-1ubuntu0.7
python3-wadllib	1.3.6-5
python3-xdg	0.28-2
python3-yaml	6.0.1-2build2
python3-zope.interface	6.1-1build1
python3.12	3.12.3-1ubuntu0.17
python3.12-minimal	3.12.3-1ubuntu0.17
qt6-gtk-platformtheme:amd64	6.4.2+dfsg-21.1build5
qt6-qpa-plugins:amd64	6.4.2+dfsg-21.1build5
qt6-translations-l10n	6.4.2-1
qt6-wayland:amd64	6.4.2-5build3
readline-common	8.2-4build1
rsync	3.2.7-1ubuntu1.5
rsyslog	8.2312.0-3ubuntu9.3
rtkit	0.13-5build1
run-one	1.17-0ubuntu2
samba-libs:amd64	2:4.19.5+dfsg-4ubuntu9.7
sane-airscan	0.99.29-0ubuntu4
sane-utils	1.2.1-7build4
sbsigntool	0.9.4-3.1ubuntu7
screen	4.9.1-1ubuntu1
secureboot-db	1.9build1
sed	4.9-2ubuntu0.24.04.1
sensible-utils	0.0.22
session-migration	0.3.9build1
sg3-utils	1.46-3ubuntu4
sg3-utils-udev	1.46-3ubuntu4
sgml-base	1.31
sgml-data	2.0.11+nmu1
shared-mime-info	2.4-4
shim-signed	1.58+15.8-0ubuntu1
snapd	2.76.3+ubuntu24.04
software-properties-common	0.99.49.4
sosreport	4.10.2-0ubuntu0~24.04.1
sound-theme-freedesktop	0.8-2ubuntu1
squashfs-tools	1:4.6.1-1build1
ssh-import-id	5.11-0ubuntu2.24.04.1
ssl-cert	1.1.2ubuntu1
strace	6.8-0ubuntu2
sudo	1.9.15p5-3ubuntu5.24.04.2
sysstat	12.6.1-2
system-config-printer	1.5.18-1ubuntu9
system-config-printer-common	1.5.18-1ubuntu9
system-config-printer-udev	1.5.18-1ubuntu9
systemd	255.4-1ubuntu8.17
systemd-dev	255.4-1ubuntu8.17
systemd-hwe-hwdb	255.1.7
systemd-resolved	255.4-1ubuntu8.17
systemd-sysv	255.4-1ubuntu8.17
sysvinit-utils	3.08-6ubuntu3
tango-icon-theme	0.8.90-11
tar	1.35+dfsg-3ubuntu0.4
tcl	8.6.14build1
tcl8.6	8.6.14+dfsg-1build1
tcpdump	4.99.4-3ubuntu4.24.04.1
telnet	0.17+2.5-3ubuntu4.2
thermald	2.5.6-2ubuntu0.24.04.5
thin-provisioning-tools	0.9.0-2ubuntu5.1
thunar	4.18.8-1build3
thunar-data	4.18.8-1build3
thunar-volman	4.18.0-1build2
tigervnc-common	1.13.1+dfsg-2build2
tigervnc-standalone-server	1.13.1+dfsg-2build2
tigervnc-tools	1.13.1+dfsg-2build2
time	1.9-0.2build1
tmux	3.4-1ubuntu0.1
tnftp	20230507-2build3
tpm-udev	0.6ubuntu1
trace-cmd	3.2-1ubuntu2
tumbler:amd64	4.18.1-1.1build4
tumbler-common	4.18.1-1.1build4
tzdata	2026c-0ubuntu0.24.04.1
tzdata-legacy	2026c-0ubuntu0.24.04.1
ubuntu-kernel-accessories	1.539.2
ubuntu-keyring	2023.11.28.1
ubuntu-minimal	1.539.2
ubuntu-mono	24.04-0ubuntu1
ubuntu-pro-client	37.2ubuntu~24.04.1
ubuntu-pro-client-l10n	37.2ubuntu~24.04.1
ubuntu-release-upgrader-core	1:24.04.29
ubuntu-server	1.539.2
ubuntu-standard	1.539.2
ubuntu-touch-sounds	15.08build1
ucf	3.0043+nmu1
udev	255.4-1ubuntu8.17
udisks2	2.10.1-6ubuntu1.5
ufw	0.36.2-6
unattended-upgrades	2.9.1+nmu4ubuntu1
unity-control-center	15.04.0+23.04.20230220-0ubuntu8
unity-greeter	24.04.1-0ubuntu1
unity-gtk-module-common	0.0.0+18.04.20171202-0ubuntu7
unity-gtk2-module:amd64	0.0.0+18.04.20171202-0ubuntu7
unity-gtk3-module:amd64	0.0.0+18.04.20171202-0ubuntu7
unity-settings-daemon	15.04.1+21.10.20220802-0ubuntu5
unity-settings-daemon-schemas	15.04.1+21.10.20220802-0ubuntu5
unzip	6.0-28ubuntu4.1
update-inetd	4.53
update-manager-core	1:24.04.12
update-notifier-common	3.192.68.2
upower	1.90.3-1
usb-modeswitch	2.6.1-3ubuntu3
usb-modeswitch-data	20191128-6
usb.ids	2024.03.18-1
usbmuxd	1.1.1-5~exp3ubuntu2.1
usbutils	1:017-3build1
util-linux	2.39.3-9ubuntu6.6
uuid-runtime	2.39.3-9ubuntu6.6
va-driver-all:amd64	2.20.0-2ubuntu0.2
vdpau-driver-all:amd64	1.5-2build1
vim	2:9.1.0016-1ubuntu7.20
vim-common	2:9.1.0016-1ubuntu7.20
vim-runtime	2:9.1.0016-1ubuntu7.20
vim-tiny	2:9.1.0016-1ubuntu7.20
walinuxagent	2.15.0.1-0ubuntu1~24.04.1
wamerican	2020.12.07-2
wget	1.21.4-1ubuntu4.5
whiptail	0.52.24-2ubuntu2
whoopsie	0.2.77ubuntu0.1
whoopsie-preferences	23build3
wireless-regdb	2026.05.30-0ubuntu1~24.04.1
wireshark	4.2.2-1.1build3
wireshark-common	4.2.2-1.1build3
wpasupplicant	2:2.10-21ubuntu0.4
x11-apps	7.7+11build3
x11-common	1:7.7+23ubuntu3
x11-session-utils	7.7+6build2
x11-utils	7.7+6build2
x11-xkb-utils	7.7+8build2
x11-xserver-utils	7.7+10build2
xauth	1:1.1.2-1build1
xbitmaps	1.1.1-2.2
xcvt	0.1.2-1build1
xdg-dbus-proxy	0.1.5-1ubuntu0.2
xdg-desktop-portal	1.18.4-1ubuntu2.24.04.2
xdg-desktop-portal-gtk	1.15.1-1build2
xdg-user-dirs	0.18-1build1
xdotool	1:3.20160805.1-5build1
xfce4	4.18
xfce4-appfinder	4.18.0-1build2
xfce4-helpers	4.18.4-0ubuntu3
xfce4-notifyd	0.9.4-1
xfce4-panel	4.18.4-1ubuntu0.1
xfce4-pulseaudio-plugin:amd64	0.4.8-1build2
xfce4-session	4.18.3-1build2
xfce4-settings	4.18.4-0ubuntu3
xfce4-terminal	1.1.3-1build1
xfconf	4.18.1-1build3
xfdesktop4	4.18.1-1build3
xfdesktop4-data	4.18.1-1build3
xfonts-base	1:1.0.5+nmu1
xfonts-encodings	1:1.0.5-0ubuntu2
xfonts-scalable	1:1.0.3-1.3
xfonts-utils	1:7.7+6build3
xfsprogs	6.6.0-1ubuntu2.1
xfwm4	4.18.0-1build3
xiccd	0.3.0-2build2
xinit	1.4.1-0ubuntu5
xinput	1.6.4-1build1
xkb-data	2.41-2ubuntu1.1
xml-core	0.19
xorg	1:7.7+23ubuntu3
xorg-docs-core	1:1.7.1-1.2
xserver-common	2:21.1.12-1ubuntu1.6
xserver-xorg	1:7.7+23ubuntu3
xserver-xorg-core	2:21.1.12-1ubuntu1.6
xserver-xorg-input-all	1:7.7+23ubuntu3
xserver-xorg-input-libinput	1.4.0-1ubuntu24.04.1
xserver-xorg-input-wacom	1:1.2.0-1ubuntu2
xserver-xorg-legacy	2:21.1.12-1ubuntu1.6
xserver-xorg-video-all	1:7.7+23ubuntu3
xserver-xorg-video-amdgpu	23.0.0-1ubuntu0.24.04.1
xserver-xorg-video-ati	1:22.0.0-1build1
xserver-xorg-video-fbdev	1:0.5.0-2build2
xserver-xorg-video-intel	2:2.99.917+git20210115-1build1
xserver-xorg-video-nouveau	1:1.0.17-2ubuntu0.1
xserver-xorg-video-qxl	0.1.6-1build1
xserver-xorg-video-radeon	1:22.0.0-1build1
xserver-xorg-video-vesa	1:2.6.0-1ubuntu0.1
xserver-xorg-video-vmware	1:13.4.0-1build1
xxd	2:9.1.0016-1ubuntu7.20
xz-utils	5.6.1+really5.4.5-1ubuntu0.3
yelp	42.2-1ubuntu0.24.04.2
yelp-xsl	42.1-2ubuntu0.24.04.1
zeitgeist-core	1.0.4-5ubuntu5
zenity	4.0.1-1build3
zenity-common	4.0.1-1build3
zerofree	1.1.1-1build5
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.2
zstd	1.5.5+dfsg2-2build1.1
